do,wtemp,year,yday,hour,do_eq,o2_sat,par,wspeed,z,par_int,datetime
7.748998345,19.16770133,2016,163,1,7.568122715,1.023899669,0,0,3.600173698,0,2016-06-11T00:00:00Z
7.758089345,19.09233117,2016,163,2,7.579801048,1.023521501,0,0,3.600173698,0,2016-06-11T01:00:00Z
7.739238511,19.018344,2016,163,3,7.59129556,1.019488498,0,0,3.600173698,0,2016-06-11T02:00:00Z
7.741725678,18.95132483,2016,163,4,7.601733695,1.018415797,0,0,3.600173698,0,2016-06-11T03:00:00Z
7.741481845,18.85775783,2016,163,5,7.616348384,1.016429587,0,0,3.600173698,0,2016-06-11T04:00:00Z
7.775464178,18.75159483,2016,163,6,7.632989732,1.018665615,6.3,0,3.600173698,4,2016-06-11T05:00:00Z
7.768711345,18.6454035,2016,163,7,7.649698856,1.0155578,124.7,0,3.600173698,86,2016-06-11T06:00:00Z
7.760013678,18.567135,2016,163,8,7.662055106,1.012784895,579.2,0,3.600173698,397,2016-06-11T07:00:00Z
7.780091845,18.53778083,2016,163,9,7.666698203,1.014790414,934.4,1.128360041,3.600173698,641,2016-06-11T08:00:00Z
7.769107178,18.533587,2016,163,10,7.667361962,1.013269912,1255.7,1.128360041,3.600173698,861,2016-06-11T09:00:00Z
7.718866678,18.53498467,2016,163,11,7.667140742,1.006746444,1513.6,2.308009175,3.600173698,1038,2016-06-11T10:00:00Z
7.669969678,18.51541083,2016,163,12,7.670239866,0.999964775,1701.8,1.128360041,3.600173698,1167,2016-06-11T11:00:00Z
7.669531678,18.61465567,2016,163,13,7.654548882,1.001957372,1796.9,2.308009175,3.600173698,1233,2016-06-11T12:00:00Z
7.717295345,18.72225667,2016,163,14,7.637599722,1.010434643,1792.7,2.308009175,3.600173698,1230,2016-06-11T13:00:00Z
7.772831845,18.83121867,2016,163,15,7.620502558,1.019989402,1684.9,2.308009175,3.600173698,1156,2016-06-11T14:00:00Z
7.789916011,18.9736655,2016,163,16,7.5982514,1.025224831,1484,2.308009175,3.600173698,1018,2016-06-11T15:00:00Z
7.773292011,19.0686005,2016,163,17,7.583484506,1.025029062,1219.8,2.308009175,3.600173698,837,2016-06-11T16:00:00Z
7.748325511,19.14955717,2016,163,18,7.570931231,1.023430972,873.1,1.128360041,3.600173698,599,2016-06-11T17:00:00Z
7.774125678,19.1649095,2016,163,19,7.568554742,1.027161188,63.4,1.128360041,3.600173698,43,2016-06-11T18:00:00Z
7.840075678,18.89685417,2016,163,20,7.610235803,1.030201413,33.8,0,3.600173698,23,2016-06-11T19:00:00Z
7.823060511,18.93736017,2016,163,21,7.60391181,1.028820521,12.7,0,3.600173698,9,2016-06-11T20:00:00Z
7.796575678,19.07697583,2016,163,22,7.582184138,1.028275697,0,0,3.600173698,0,2016-06-11T21:00:00Z
7.785618511,19.03090883,2016,163,23,7.589341377,1.025862209,0,0,3.600173698,0,2016-06-11T22:00:00Z
7.757730345,18.99042083,2016,163,24,7.595641524,1.021339714,0,0,3.600173698,0,2016-06-11T23:00:00Z
7.776110011,18.92200067,2016,164,1,7.606308735,1.022323742,0,0,3.845884034,0,2016-06-12T00:00:00Z
7.763870845,18.85217233,2016,164,2,7.617222355,1.019252226,0,0,3.845884034,0,2016-06-12T01:00:00Z
7.753488511,18.79630033,2016,164,3,7.625974324,1.016721035,0,0,3.845884034,0,2016-06-12T02:00:00Z
7.759748511,18.72784533,2016,164,4,7.636721186,1.016109967,0,0,3.845884034,0,2016-06-12T03:00:00Z
7.747239845,18.66776283,2016,164,5,7.64617535,1.013217653,0,0,3.845884034,0,2016-06-12T04:00:00Z
7.745061345,18.6062715,2016,164,6,7.655872291,1.011649757,6.3,0,3.845884034,4,2016-06-12T05:00:00Z
7.748470511,18.53638217,2016,164,7,7.666919559,1.01063673,120.5,0,3.845884034,82,2016-06-12T06:00:00Z
7.750774011,18.470673,2016,164,8,7.677331392,1.009566165,575,0,3.845884034,389,2016-06-12T07:00:00Z
7.752790345,18.44690317,2016,164,9,7.681103861,1.009332836,925.9,0,3.845884034,626,2016-06-12T08:00:00Z
7.764020678,18.42173233,2016,164,10,7.685102197,1.010269022,1247.3,1.128360041,3.845884034,844,2016-06-12T09:00:00Z
7.703098178,18.3951615,2016,164,11,7.68932685,1.001790967,1507.3,1.128360041,3.845884034,1020,2016-06-12T10:00:00Z
7.722567511,18.42452933,2016,164,12,7.68465772,1.004933179,1684.9,1.128360041,3.845884034,1140,2016-06-12T11:00:00Z
7.750350345,18.48045917,2016,164,13,7.675779184,1.009715126,1780,1.128360041,3.845884034,1204,2016-06-12T12:00:00Z
7.769803845,18.58810183,2016,164,14,7.65874167,1.014501361,1761,1.128360041,3.845884034,1191,2016-06-12T13:00:00Z
7.764840845,18.56154433,2016,164,15,7.662939033,1.013298006,1657.4,1.128360041,3.845884034,1121,2016-06-12T14:00:00Z
7.770930011,18.58810167,2016,164,16,7.658741696,1.0146484,1469.2,1.128360041,3.845884034,994,2016-06-12T15:00:00Z
7.794960511,18.63422367,2016,164,17,7.651461695,1.018754432,1207.1,1.128360041,3.845884034,817,2016-06-12T16:00:00Z
7.800413845,18.71247617,2016,164,18,7.639137636,1.021111834,854.1,1.128360041,3.845884034,578,2016-06-12T17:00:00Z
7.803984178,18.73622883,2016,164,19,7.635403632,1.0220788,63.4,0,3.845884034,43,2016-06-12T18:00:00Z
7.802208678,18.722257,2016,164,20,7.63759967,1.021552453,31.7,0,3.845884034,21,2016-06-12T19:00:00Z
7.773379845,18.72644833,2016,164,21,7.636940777,1.017865671,12.7,0,3.845884034,9,2016-06-12T20:00:00Z
7.781277678,18.76696383,2016,164,22,7.630576688,1.01974962,0,0,3.845884034,0,2016-06-12T21:00:00Z
7.788883178,18.72644833,2016,164,23,7.636940777,1.019895716,0,0,3.845884034,0,2016-06-12T22:00:00Z
7.805001345,18.752994,2016,164,24,7.632769998,1.022564724,0,0,3.845884034,0,2016-06-12T23:00:00Z
7.782567011,18.7334345,2016,165,1,7.635842747,1.019215203,0,0,4.091594371,0,2016-06-13T00:00:00Z
7.771154845,18.73064,2016,165,2,7.636281931,1.017662118,0,0,4.091594371,0,2016-06-13T01:00:00Z
7.760954345,18.85077183,2016,165,3,7.617441521,1.01884003,0,0,4.091594371,0,2016-06-13T02:00:00Z
7.730097178,18.84658517,2016,165,4,7.618096761,1.01470189,0,0,4.091594371,0,2016-06-13T03:00:00Z
7.722338678,18.789316,2016,165,5,7.627069601,1.012490915,0,0,4.091594371,0,2016-06-13T04:00:00Z
7.729915178,18.7446115,2016,165,6,7.634086605,1.012552723,6.3,0,4.091594371,4,2016-06-13T05:00:00Z
7.730485345,18.70968233,2016,165,7,7.639577045,1.011899651,112,0,4.091594371,75,2016-06-13T06:00:00Z
7.725169345,18.68033933,2016,165,8,7.644194716,1.010592957,547.5,0,4.091594371,366,2016-06-13T07:00:00Z
7.722163178,18.6957095,2016,165,9,7.641775327,1.010519526,890,0,4.091594371,594,2016-06-13T08:00:00Z
7.736038011,18.70129867,2016,165,10,7.640895877,1.012451699,1175.4,0,4.091594371,785,2016-06-13T09:00:00Z
7.730858511,18.70828517,2016,165,11,7.639796805,1.011919389,1302.2,1.128360041,4.091594371,870,2016-06-13T10:00:00Z
7.694829345,18.68732583,2016,165,12,7.643094819,1.006768793,909,1.128360041,4.091594371,607,2016-06-13T11:00:00Z
7.699792511,18.70968083,2016,165,13,7.639577281,1.007882011,1682.7,1.128360041,4.091594371,1124,2016-06-13T12:00:00Z
7.715014178,18.79210967,2016,165,14,7.626631468,1.011588696,1737.7,2.308009175,4.091594371,1161,2016-06-13T13:00:00Z
7.733919511,18.81585667,2016,165,15,7.62290897,1.014562753,1439.6,2.308009175,4.091594371,961,2016-06-13T14:00:00Z
7.721553011,18.80049067,2016,165,16,7.625317331,1.012620548,598.3,2.308009175,4.091594371,400,2016-06-13T15:00:00Z
7.766716845,18.96527883,2016,165,17,7.599558326,1.02199582,915.4,2.308009175,4.091594371,611,2016-06-13T16:00:00Z
7.771901178,19.0448685,2016,165,18,7.587171282,1.024347664,782.2,1.128360041,4.091594371,522,2016-06-13T17:00:00Z
7.766256011,19.07836983,2016,165,19,7.58196774,1.024306127,139.5,1.128360041,4.091594371,93,2016-06-13T18:00:00Z
7.768899678,19.06022083,2016,165,20,7.584785936,1.024274086,71.9,0,4.091594371,48,2016-06-13T19:00:00Z
7.778354278,19.17745583,2016,165,21,7.566613574,1.027983549,16.9,0,4.091594371,11,2016-06-13T20:00:00Z
7.768449678,19.198404,2016,165,22,7.5633744,1.027114257,0,0,4.091594371,0,2016-06-13T21:00:00Z
7.772067345,19.10210133,2016,165,23,7.578285431,1.02557068,0,0,4.091594371,0,2016-06-13T22:00:00Z
7.788130511,19.05463833,2016,165,24,7.585653158,1.026692145,0,0,4.091594371,0,2016-06-13T23:00:00Z
7.789597178,18.962495,2016,166,1,7.599992227,1.024948045,0,0,4.337304707,0,2016-06-14T00:00:00Z
7.762003845,18.937361,2016,166,2,7.60391168,1.0207909,0,0,4.337304707,0,2016-06-14T01:00:00Z
7.748062178,18.9275865,2016,166,3,7.605436886,1.01875307,0,0,4.337304707,0,2016-06-14T02:00:00Z
7.732111178,18.884295,2016,166,4,7.612198457,1.015752706,0,0,4.337304707,0,2016-06-14T03:00:00Z
7.741395845,18.79210933,2016,166,5,7.62663152,1.015047839,0,0,4.337304707,0,2016-06-14T04:00:00Z
7.733783178,18.709682,2016,166,6,7.639577097,1.012331321,14.8,0,4.337304707,10,2016-06-14T05:00:00Z
7.733523845,18.63282583,2016,166,7,7.651682155,1.010695908,137.4,1.128360041,4.337304707,91,2016-06-14T06:00:00Z
7.736198845,18.56154367,2016,166,8,7.662939138,1.009560262,530.6,1.128360041,4.337304707,350,2016-06-14T07:00:00Z
7.749368845,18.512617,2016,166,9,7.670682391,1.010258077,898.5,1.128360041,4.337304707,593,2016-06-14T08:00:00Z
7.753484845,18.50143283,2016,166,10,7.672454335,1.010561224,1171.2,2.308009175,4.337304707,773,2016-06-14T09:00:00Z
7.759948178,18.522403,2016,166,11,7.669132546,1.011841708,1530.5,2.308009175,4.337304707,1011,2016-06-14T10:00:00Z
7.775491678,18.5098205,2016,166,12,7.671125383,1.013605083,1314.9,1.128360041,4.337304707,868,2016-06-14T11:00:00Z
7.761268178,18.493044,2016,166,13,7.673783874,1.011400413,735.7,1.128360041,4.337304707,486,2016-06-14T12:00:00Z
7.765989011,18.50003433,2016,166,14,7.672675955,1.012161736,813.9,1.128360041,4.337304707,537,2016-06-14T13:00:00Z
7.751687511,18.5531565,2016,166,15,7.664265546,1.011406437,596.1,0,4.337304707,394,2016-06-14T14:00:00Z
7.741842678,18.60207917,2016,166,16,7.656534184,1.01114192,517.9,1.128360041,4.337304707,342,2016-06-14T15:00:00Z
7.772349845,18.59509067,2016,166,17,7.657637762,1.014980087,490.4,1.128360041,4.337304707,324,2016-06-14T16:00:00Z
7.784255845,18.57552233,2016,166,18,7.660729338,1.016124641,209.3,1.128360041,4.337304707,138,2016-06-14T17:00:00Z
7.763143345,18.53917817,2016,166,19,7.666477069,1.012608957,112,0,4.337304707,74,2016-06-14T18:00:00Z
7.770437345,18.49584,2016,166,20,7.673340694,1.012653765,137.4,0,4.337304707,91,2016-06-14T19:00:00Z
7.774147511,18.44130933,2016,166,21,7.681992117,1.011996289,16.9,0,4.337304707,11,2016-06-14T20:00:00Z
7.780497011,18.38117583,2016,166,22,7.691552138,1.011563969,0,0,4.337304707,0,2016-06-14T21:00:00Z
7.780938345,18.32662583,2016,166,23,7.700242418,1.010479661,0,0,4.337304707,0,2016-06-14T22:00:00Z
7.782262511,18.25667633,2016,166,24,7.711411004,1.009187879,0,0,4.337304707,0,2016-06-14T23:00:00Z
7.783242678,18.18810983,2016,167,1,7.722386167,1.007880532,0,0,4.583015044,0,2016-06-15T00:00:00Z
7.795301011,18.11952783,2016,167,2,7.733391045,1.008005539,0,0,4.583015044,0,2016-06-15T01:00:00Z
7.791792678,18.06353067,2016,167,3,7.74239679,1.006379922,0,0,4.583015044,0,2016-06-15T02:00:00Z
7.801910678,18.010323,2016,167,4,7.75097085,1.006572058,0,0,4.583015044,0,2016-06-15T03:00:00Z
7.812433678,17.95570467,2016,167,5,7.759789446,1.006784235,0,0,4.583015044,0,2016-06-15T04:00:00Z
7.817745511,17.90807933,2016,167,6,7.767493237,1.006469561,4.2,0,4.583015044,3,2016-06-15T05:00:00Z
7.817736511,17.84363217,2016,167,7,7.777939335,1.005116674,67.6,0,4.583015044,44,2016-06-15T06:00:00Z
7.811280845,17.79458567,2016,167,8,7.785905588,1.003259127,215.6,0,4.583015044,141,2016-06-15T07:00:00Z
7.802498011,17.75814533,2016,167,9,7.791833528,1.001368674,350.9,0,4.583015044,229,2016-06-15T08:00:00Z
7.770934178,17.72450367,2016,167,10,7.79731318,0.996616911,251.6,0,4.583015044,164,2016-06-15T09:00:00Z
7.797303511,17.700671,2016,167,11,7.80119918,0.99950063200000006,767.4,1.128360041,4.583015044,502,2016-06-15T10:00:00Z
7.811768845,17.692259,2016,167,12,7.802571592,1.001178746,1092.9,2.308009175,4.583015044,714,2016-06-15T11:00:00Z
7.793977511,17.67262933,2016,167,13,7.805775796,0.998488519,260,1.128360041,4.583015044,170,2016-06-15T12:00:00Z
7.791423678,17.61373267,2016,167,14,7.815403437,0.996931731,245.2,1.128360041,4.583015044,160,2016-06-15T13:00:00Z
7.796062678,17.5407935,2016,167,15,7.827355285,0.996002148,183.9,1.128360041,4.583015044,120,2016-06-15T14:00:00Z
7.801766345,17.4481835,2016,167,16,7.84257639,0.994796347,200.8,1.128360041,4.583015044,131,2016-06-15T15:00:00Z
7.811710511,17.39625167,2016,167,17,7.851134354,0.99497858,215.6,1.128360041,4.583015044,141,2016-06-15T16:00:00Z
7.843467345,17.31762667,2016,167,18,7.86412218,0.997373536,139.5,1.128360041,4.583015044,91,2016-06-15T17:00:00Z
7.854089845,17.275496,2016,167,19,7.871097046,0.997839285,120.5,1.128360041,4.583015044,79,2016-06-15T18:00:00Z
7.858133845,17.22914233,2016,167,20,7.878783519,0.997379078,35.9,1.128360041,4.583015044,23,2016-06-15T19:00:00Z
7.883929178,17.16872617,2016,167,21,7.888821542,0.999379836,10.6,1.128360041,4.583015044,7,2016-06-15T20:00:00Z
7.876901345,17.09845383,2016,167,22,7.900525248,0.997009831,0,2.308009175,4.583015044,0,2016-06-15T21:00:00Z
7.887256011,17.0337825,2016,167,23,7.911322915,0.996957917,0,1.128360041,4.583015044,0,2016-06-15T22:00:00Z
7.911206345,16.96065133,2016,167,24,7.923564114,0.998440377,0,1.128360041,4.583015044,0,2016-06-15T23:00:00Z
7.898336678,16.8818645,2016,168,1,7.93678903,0.995155175,0,1.128360041,4.82872538,0,2016-06-16T00:00:00Z
7.910651845,16.80445433,2016,168,2,7.949820429,0.995073023,0,1.128360041,4.82872538,0,2016-06-16T01:00:00Z
7.913438845,16.73546167,2016,168,3,7.961466317,0.993967509,0,0,4.82872538,0,2016-06-16T02:00:00Z
7.885075678,16.666444,2016,168,4,7.973146254,0.9889541,0,0,4.82872538,0,2016-06-16T03:00:00Z
7.859176178,16.59317317,2016,168,5,7.985578732,0.984171147,0,0,4.82872538,0,2016-06-16T04:00:00Z
7.835033845,16.52974133,2016,168,6,7.996369105,0.979823935,6.3,0,4.82872538,4,2016-06-16T05:00:00Z
7.820601511,16.4479515,2016,168,7,8.010319977,0.976315744,93,1.128360041,4.82872538,60,2016-06-16T06:00:00Z
7.817172511,16.38587867,2016,168,8,8.020936118,0.974596032,270.6,0,4.82872538,175,2016-06-16T07:00:00Z
7.823003678,16.33789817,2016,168,9,8.029158935,0.974324178,338.2,1.128360041,4.82872538,219,2016-06-16T08:00:00Z
7.864710511,16.31531433,2016,168,10,8.033034411,0.979046038,524.3,1.128360041,4.82872538,340,2016-06-16T09:00:00Z
7.886856345,16.299786,2016,168,11,8.035701031,0.981477075,659.6,1.128360041,4.82872538,427,2016-06-16T10:00:00Z
7.892201511,16.29272733,2016,168,12,8.036913699,0.98199406,553.9,2.308009175,4.82872538,359,2016-06-16T11:00:00Z
7.919386345,16.27154983,2016,168,13,8.04055388,0.984930449,615.2,2.308009175,4.82872538,399,2016-06-16T12:00:00Z
7.921874011,16.227772,2016,168,14,8.048087946,0.984317525,1008.4,1.128360041,4.82872538,653,2016-06-16T13:00:00Z
7.934652678,16.22212283,2016,168,15,8.049061053,0.985786122,638.4,1.128360041,4.82872538,414,2016-06-16T14:00:00Z
7.943722845,16.24895617,2016,168,16,8.04444066,0.987479824,547.5,1.128360041,4.82872538,355,2016-06-16T15:00:00Z
7.945731678,16.22636033,2016,168,17,8.048331095,0.987252088,849.8,2.308009175,4.82872538,551,2016-06-16T16:00:00Z
7.960296845,16.22636,2016,168,18,8.048331153,0.989061794,687.1,1.128360041,4.82872538,445,2016-06-16T17:00:00Z
7.986002011,16.21505983,2016,168,19,8.050277991,0.992015682,154.3,1.128360041,4.82872538,100,2016-06-16T18:00:00Z
8.005720845,16.174094,2016,168,20,8.057342649,0.993593197,122.6,1.128360041,4.82872538,79,2016-06-16T19:00:00Z
8.002921178,16.13311817,2016,168,21,8.064419871,0.992374071,31.7,0,4.82872538,21,2016-06-16T20:00:00Z
8.002800511,16.07516683,2016,168,22,8.074447603,0.991126688,0,0,4.82872538,0,2016-06-16T21:00:00Z
8.018589845,16.0285095,2016,168,23,8.082536891,0.992088246,0,1.128360041,4.82872538,0,2016-06-16T22:00:00Z
8.041436478,15.97617867,2016,168,24,8.091626687,0.993797266,0,1.128360041,4.82872538,0,2016-06-16T23:00:00Z
8.057608928,15.89977283,2016,169,1,8.104930388,0.994161398,0,1.128360041,4.470009329,0,2016-06-17T00:00:00Z
8.060813678,15.84881467,2016,169,2,8.113824423,0.993466614,0,1.128360041,4.470009329,0,2016-06-17T01:00:00Z
8.086509345,15.80775133,2016,169,3,8.121003867,0.995752431,0,1.128360041,4.470009329,0,2016-06-17T02:00:00Z
8.091641511,15.77092683,2016,169,4,8.127451643,0.995593929,0,0,4.470009329,0,2016-06-17T03:00:00Z
8.099641511,15.712839,2016,169,5,8.137640715,0.99533044,0,0,4.470009329,0,2016-06-17T04:00:00Z
8.102163178,15.6618155,2016,169,6,8.146609071,0.994544246,0,0,4.470009329,0,2016-06-17T05:00:00Z
8.140665178,15.60509983,2016,169,7,8.156598216,0.998046608,8.5,1.128360041,4.470009329,6,2016-06-17T06:00:00Z
8.182760345,15.53701333,2016,169,8,8.168618363,1.001731258,52.9,1.128360041,4.470009329,35,2016-06-17T07:00:00Z
8.186355845,15.47882933,2016,169,9,8.178914845,1.000909778,97.2,1.128360041,4.470009329,64,2016-06-17T08:00:00Z
8.192249011,15.42062067,2016,169,10,8.189238403,1.00036763,124.7,1.128360041,4.470009329,82,2016-06-17T09:00:00Z
8.175150345,15.35102167,2016,169,11,8.201612002,0.996773603,200.8,1.128360041,4.470009329,132,2016-06-17T10:00:00Z
8.204874345,15.29417733,2016,169,12,8.211742279,0.999163645,230.4,1.128360041,4.470009329,152,2016-06-17T11:00:00Z
8.195452011,15.23731,2016,169,13,8.221898548,0.996783403,228.3,1.128360041,4.470009329,150,2016-06-17T12:00:00Z
8.197495511,15.19606583,2016,169,14,8.229278324,0.996137837,308.6,1.128360041,4.470009329,203,2016-06-17T13:00:00Z
8.156694511,15.17899567,2016,169,15,8.232336058,0.990811655,334,1.128360041,4.470009329,220,2016-06-17T14:00:00Z
8.157653011,15.1605005,2016,169,16,8.235651289,0.990529191,137.4,1.128360041,4.470009329,90,2016-06-17T15:00:00Z
8.161882845,15.12349883,2016,169,17,8.242290789,0.990244466,116.3,1.128360041,4.470009329,77,2016-06-17T16:00:00Z
8.186182011,15.069404,2016,169,18,8.252014295,0.992022277,126.8,1.128360041,4.470009329,84,2016-06-17T17:00:00Z
8.269113011,14.97681833,2016,169,19,8.268703076,1.000049577,124.7,0,4.470009329,82,2016-06-17T18:00:00Z
8.252871178,14.9711185,2016,169,20,8.269732411,0.997961091,27.5,1.128360041,4.470009329,18,2016-06-17T19:00:00Z
8.246327511,14.91267867,2016,169,21,8.280299008,0.99589731,4.2,0,4.470009329,3,2016-06-17T20:00:00Z
8.228554845,14.86847333,2016,169,22,8.288307522,0.992790726,0,0,4.470009329,0,2016-06-17T21:00:00Z
8.213316345,14.80855833,2016,169,23,8.299183719,0.989653516,0,1.128360041,4.470009329,0,2016-06-17T22:00:00Z
8.214223845,14.77145233,2016,169,24,8.305931974,0.988958719,0,1.128360041,4.470009329,0,2016-06-17T23:00:00Z
8.190310511,14.71005867,2016,170,1,8.317118359,0.984753392,0,1.128360041,4.111293277,0,2016-06-18T00:00:00Z
8.193451345,14.6543475,2016,170,2,8.327292147,0.983927452,0,1.128360041,4.111293277,0,2016-06-18T01:00:00Z
8.204418345,14.5843145,2016,170,3,8.340112219,0.98372997,0,0,4.111293277,0,2016-06-18T02:00:00Z
8.208014011,14.5385535,2016,170,4,8.348507755,0.983171395,0,0,4.111293277,0,2016-06-18T03:00:00Z
8.208952345,14.48276,2016,170,5,8.358763892,0.982077308,0,0,4.111293277,0,2016-06-18T04:00:00Z
8.219925511,14.43552783,2016,170,6,8.367463473,0.98236766,2.1,0,4.111293277,1,2016-06-18T05:00:00Z
8.227046678,14.38970633,2016,170,7,8.375918351,0.982226227,65.5,0,4.111293277,44,2016-06-18T06:00:00Z
8.203827345,14.37538367,2016,170,8,8.378564199,0.979144774,234.7,0,4.111293277,157,2016-06-18T07:00:00Z
8.219599345,14.35389533,2016,170,9,8.382536509,0.980562308,613.1,0,4.111293277,411,2016-06-18T08:00:00Z
8.225515345,14.3796795,2016,170,10,8.37777047,0.981826295,1295.9,1.128360041,4.111293277,869,2016-06-18T09:00:00Z
8.224532511,14.40545967,2016,170,11,8.3730099,0.982267143,1154.2,1.128360041,4.111293277,774,2016-06-18T10:00:00Z
8.235009345,14.41261767,2016,170,12,8.37168894,0.983673594,758.9,0,4.111293277,509,2016-06-18T11:00:00Z
8.227769178,14.42120933,2016,170,13,8.370103888,0.982994869,1682.7,1.128360041,4.111293277,1129,2016-06-18T12:00:00Z
8.214901178,14.46701767,2016,170,14,8.361661679,0.982448405,953.4,1.128360041,4.111293277,640,2016-06-18T13:00:00Z
8.248589845,14.52282067,2016,170,15,8.351397588,0.987689756,1012.6,1.128360041,4.111293277,679,2016-06-18T14:00:00Z
8.256411345,14.50851533,2016,170,16,8.354026732,0.988315169,644.8,1.128360041,4.111293277,433,2016-06-18T15:00:00Z
8.252346178,14.514238,2016,170,17,8.352974803,0.98795296,577.1,0,4.111293277,387,2016-06-18T16:00:00Z
8.272355178,14.54713583,2016,170,18,8.346932074,0.991065353,714.5,0,4.111293277,479,2016-06-18T17:00:00Z
8.298954345,14.5928925,2016,170,19,8.338540099,0.995252676,71.9,0,4.111293277,48,2016-06-18T18:00:00Z
8.279084178,14.574307,2016,170,20,8.341946984,0.992464253,29.6,0,4.111293277,20,2016-06-18T19:00:00Z
8.279977511,14.6243365,2016,170,21,8.332781671,0.993663081,12.7,0,4.111293277,9,2016-06-18T20:00:00Z
8.298187511,14.67863117,2016,170,22,8.322854873,0.99703619,0,0,4.111293277,0,2016-06-18T21:00:00Z
8.278280011,14.60718783,2016,170,23,8.335921293,0.993085194,0,0,4.111293277,0,2016-06-18T22:00:00Z
8.264673011,14.59861083,2016,170,24,8.337492368,0.991266036,0,0,4.111293277,0,2016-06-18T23:00:00Z
8.273345178,14.6043295,2016,171,1,8.336444805,0.992430871,0,0,3.752577226,0,2016-06-19T00:00:00Z
8.262540178,14.58288483,2016,171,2,8.34037429,0.990667792,0,0,3.752577226,0,2016-06-19T01:00:00Z
8.262132678,14.57287717,2016,171,3,8.342209185,0.990401043,0,0,3.752577226,0,2016-06-19T02:00:00Z
8.253190845,14.56429717,2016,171,4,8.343782881,0.98914257,0,0,3.752577226,0,2016-06-19T03:00:00Z
8.263645345,14.55285667,2016,171,5,8.345882041,0.990146434,0,0,3.752577226,0,2016-06-19T04:00:00Z
8.269107011,14.51996033,2016,171,6,8.351923166,0.990084181,8.5,0,3.752577226,6,2016-06-19T05:00:00Z
8.263722345,14.48848417,2016,171,7,8.357710645,0.988754301,93,0,3.752577226,64,2016-06-19T06:00:00Z
8.267443678,14.46129367,2016,171,8,8.362715766,0.988607518,431.3,0,3.752577226,296,2016-06-19T07:00:00Z
8.272359011,14.46415583,2016,171,9,8.362188663,0.989257639,919.6,0,3.752577226,630,2016-06-19T08:00:00Z
8.285469011,14.4856225,2016,171,10,8.358237163,0.99129384,1232.5,0,3.752577226,845,2016-06-19T09:00:00Z
8.298981678,14.48705367,2016,171,11,8.357973835,0.992941811,1488.3,0,3.752577226,1020,2016-06-19T10:00:00Z
8.319660678,14.48419083,2016,171,12,8.358500597,0.995353243,1670.1,1.128360041,3.752577226,1144,2016-06-19T11:00:00Z
8.322248845,14.53998367,2016,171,13,8.348245146,0.996886016,1773.6,2.308009175,3.752577226,1215,2016-06-19T12:00:00Z
8.341138345,14.64148683,2016,171,14,8.329643809,1.001379955,1771.5,2.308009175,3.752577226,1214,2016-06-19T13:00:00Z
8.345637178,14.65720633,2016,171,15,8.326769548,1.0022659,1674.3,2.308009175,3.752577226,1147,2016-06-19T14:00:00Z
8.358479178,14.69149117,2016,171,16,8.32050668,1.004563724,1500.9,2.308009175,3.752577226,1028,2016-06-19T15:00:00Z
8.373088345,14.7657425,2016,171,17,8.306971239,1.007959231,1251.5,1.128360041,3.752577226,858,2016-06-19T16:00:00Z
8.380618511,14.73004967,2016,171,18,8.313472961,1.008076715,854.1,2.308009175,3.752577226,585,2016-06-19T17:00:00Z
8.386923178,14.76288217,2016,171,19,8.307491943,1.009561398,76.1,1.128360041,3.752577226,52,2016-06-19T18:00:00Z
8.391323511,14.839947,2016,171,20,8.293482718,1.011797311,29.6,0,3.752577226,20,2016-06-19T19:00:00Z
8.386049845,14.89127967,2016,171,21,8.284174095,1.012297635,12.7,1.128360041,3.752577226,9,2016-06-19T20:00:00Z
8.384444345,14.91552083,2016,171,22,8.279784565,1.012640399,0,1.128360041,3.752577226,0,2016-06-19T21:00:00Z
8.376758845,14.77287783,2016,171,23,8.305672549,1.008558765,0,0,3.752577226,0,2016-06-19T22:00:00Z
8.362803345,14.76859783,2016,171,24,8.306451502,1.006784105,0,0,3.752577226,0,2016-06-19T23:00:00Z
8.370137345,14.78286967,2016,172,1,8.303854548,1.007982172,0,0,3.393861174,0,2016-06-20T00:00:00Z
8.368809345,14.809984,2016,172,2,8.298924632,1.008420936,0,0,3.393861174,0,2016-06-20T01:00:00Z
8.362490845,14.8456505,2016,172,3,8.292447548,1.008446637,0,0,3.393861174,0,2016-06-20T02:00:00Z
8.348990845,14.82853367,2016,172,4,8.295554885,1.006441517,0,0,3.393861174,0,2016-06-20T03:00:00Z
8.343128678,14.82853367,2016,172,5,8.295554885,1.005734854,0,0,3.393861174,0,2016-06-20T04:00:00Z
8.341664178,14.8256805,2016,172,6,8.296073038,1.005495509,6.3,0,3.393861174,4,2016-06-20T05:00:00Z
8.346060345,14.85706383,2016,172,7,8.290376736,1.006716656,105.7,0,3.393861174,74,2016-06-20T06:00:00Z
8.327630345,14.9055505,2016,172,8,8.281589476,1.005559424,547.5,0,3.393861174,384,2016-06-20T07:00:00Z
8.344601511,14.86562033,2016,172,9,8.288824854,1.006729139,890,0,3.393861174,624,2016-06-20T08:00:00Z
8.319482845,14.9397625,2016,172,10,8.275399007,1.005327095,1205,1.128360041,3.393861174,845,2016-06-20T09:00:00Z
8.365621511,14.915524,2016,172,11,8.279783992,1.010367121,1462.9,2.308009175,3.393861174,1026,2016-06-20T10:00:00Z
